,food_list,source
699,烏醋,eHowNet-food
700,白醋,eHowNet-food
701,紅醋,eHowNet-food
702,老醋,eHowNet-food
703,醋,eHowNet-food
704,醯,eHowNet-food
705,陳醋,eHowNet-food
706,咖哩汁,eHowNet-food
707,炸醬,eHowNet-food
708,花生醬,eHowNet-food
709,蕃茄醬,eHowNet-food
710,蛋黃醬,eHowNet-food
711,蠔油,eHowNet-food
712,豆瓣醬,eHowNet-food
713,豆醬,eHowNet-food
714,辣醬,eHowNet-food
715,魚子醬,eHowNet-food
716,鹵汁,eHowNet-food
717,麻醬,eHowNet-food
718,漿汁,eHowNet-food
719,醬,eHowNet-food
720,醬料,eHowNet-food
721,棗泥,eHowNet-food
722,綠豆沙,eHowNet-food
723,肉餡,eHowNet-food
724,豆沙,eHowNet-food
725,餡,eHowNet-food
726,餡料,eHowNet-food
727,薄荷,eHowNet-food
728,五香,eHowNet-food
729,八角,eHowNet-food
730,椒料,eHowNet-food
731,胡椒粉,eHowNet-food
732,茴香,eHowNet-food
733,荳蔻,eHowNet-food
734,豆蔻,eHowNet-food
735,香料,eHowNet-food
736,炒飯,eHowNet-food
737,蛋炒飯,eHowNet-food
738,燴飯,eHowNet-food
739,羹飯,eHowNet-food
740,膾飯,eHowNet-food
741,白米飯,eHowNet-food
742,白飯,eHowNet-food
743,竹筒飯,eHowNet-food
744,飯筒,eHowNet-food
745,粗糲,eHowNet-food
746,糲飯,eHowNet-food
747,糝,eHowNet-food
748,飯米粒兒,eHowNet-food
749,飯粒,eHowNet-food
750,乳粥,eHowNet-food
751,早粥,eHowNet-food
752,玉米粥,eHowNet-food
753,粥餳,eHowNet-food
754,麥粥,eHowNet-food
755,佛粥,eHowNet-food
756,八寶粥,eHowNet-food
757,水飯,eHowNet-food
758,泡飯,eHowNet-food
759,稀粥,eHowNet-food
760,稀飯,eHowNet-food
761,米粥,eHowNet-food
762,粥,eHowNet-food
763,糜,eHowNet-food
764,臘八粥,eHowNet-food
765,食糜,eHowNet-food
766,湯糰,eHowNet-food
767,湯糰兒,eHowNet-food
768,杯麵,eHowNet-food
769,碗麵,eHowNet-food
770,義大利麵,eHowNet-food
771,通心粉,eHowNet-food
772,通心麵,eHowNet-food
773,粉絲,eHowNet-food
774,線粉,eHowNet-food
775,麵線,eHowNet-food
776,牛排,eHowNet-food
777,牛肉排,eHowNet-food
778,齋,eHowNet-food
779,齋飯,eHowNet-food
780,豆包,eHowNet-food
781,豆腐皮,eHowNet-food
782,腐乳,eHowNet-food
783,豆腐乳,eHowNet-food
784,白沙糖,eHowNet-food
785,白糖,eHowNet-food
786,糖水,eHowNet-food
787,糖漿,eHowNet-food
788,飴漿,eHowNet-food
789,餳,eHowNet-food
790,果子醬,eHowNet-food
791,果醬,eHowNet-food
792,紅油,eHowNet-food
793,辣椒醬,eHowNet-food
794,胡椒,eHowNet-food
795,芥末,eHowNet-food
796,花椒,eHowNet-food
